date,country,cnt,V_18_60,V_18_60_adj,V_60,V_60_adj,V_tot,V_tot_adj
2020-09-19,Denmark,DNK,0,0,0,0,0,0
2020-09-20,Denmark,DNK,0,0,0,0,0,0
2020-09-21,Denmark,DNK,0,0,0,0,0,0
2020-09-22,Denmark,DNK,0,0,0,0,0,0
2020-09-23,Denmark,DNK,0,0,0,0,0,0
2020-09-24,Denmark,DNK,0,0,0,0,0,0
2020-09-25,Denmark,DNK,0,0,0,0,0,0
2020-09-26,Denmark,DNK,0,0,0,0,0,0
2020-09-27,Denmark,DNK,0,0,0,0,0,0
2020-09-28,Denmark,DNK,0,0,0,0,0,0
2020-09-29,Denmark,DNK,0,0,0,0,0,0
2020-09-30,Denmark,DNK,0,0,0,0,0,0
2020-10-01,Denmark,DNK,0,0,0,0,0,0
2020-10-02,Denmark,DNK,0,0,0,0,0,0
2020-10-03,Denmark,DNK,0,0,0,0,0,0
2020-10-04,Denmark,DNK,0,0,0,0,0,0
2020-10-05,Denmark,DNK,0,0,0,0,0,0
2020-10-06,Denmark,DNK,0,0,0,0,0,0
2020-10-07,Denmark,DNK,0,0,0,0,0,0
2020-10-08,Denmark,DNK,0,0,0,0,0,0
2020-10-09,Denmark,DNK,0,0,0,0,0,0
2020-10-10,Denmark,DNK,0,0,0,0,0,0
2020-10-11,Denmark,DNK,0,0,0,0,0,0
2020-10-12,Denmark,DNK,0,0,0,0,0,0
2020-10-13,Denmark,DNK,0,0,0,0,0,0
2020-10-14,Denmark,DNK,0,0,0,0,0,0
2020-10-15,Denmark,DNK,0,0,0,0,0,0
2020-10-16,Denmark,DNK,0,0,0,0,0,0
2020-10-17,Denmark,DNK,0,0,0,0,0,0
2020-10-18,Denmark,DNK,0,0,0,0,0,0
2020-10-19,Denmark,DNK,0,0,0,0,0,0
2020-10-20,Denmark,DNK,0,0,0,0,0,0
2020-10-21,Denmark,DNK,0,0,0,0,0,0
2020-10-22,Denmark,DNK,0,0,0,0,0,0
2020-10-23,Denmark,DNK,0,0,0,0,0,0
2020-10-24,Denmark,DNK,0,0,0,0,0,0
2020-10-25,Denmark,DNK,0,0,0,0,0,0
2020-10-26,Denmark,DNK,0,0,0,0,0,0
2020-10-27,Denmark,DNK,0,0,0,0,0,0
2020-10-28,Denmark,DNK,0,0,0,0,0,0
2020-10-29,Denmark,DNK,0,0,0,0,0,0
2020-10-30,Denmark,DNK,0,0,0,0,0,0
2020-10-31,Denmark,DNK,0,0,0,0,0,0
2020-11-01,Denmark,DNK,0,0,0,0,0,0
2020-11-02,Denmark,DNK,0,0,0,0,0,0
2020-11-03,Denmark,DNK,0,0,0,0,0,0
2020-11-04,Denmark,DNK,0,0,0,0,0,0
2020-11-05,Denmark,DNK,0,0,0,0,0,0
2020-11-06,Denmark,DNK,0,0,0,0,0,0
2020-11-07,Denmark,DNK,0,0,0,0,0,0
2020-11-08,Denmark,DNK,0,0,0,0,0,0
2020-11-09,Denmark,DNK,0,0,0,0,0,0
2020-11-10,Denmark,DNK,0,0,0,0,0,0
2020-11-11,Denmark,DNK,0,0,0,0,0,0
2020-11-12,Denmark,DNK,0,0,0,0,0,0
2020-11-13,Denmark,DNK,0,0,0,0,0,0
2020-11-14,Denmark,DNK,0,0,0,0,0,0
2020-11-15,Denmark,DNK,0,0,0,0,0,0
2020-11-16,Denmark,DNK,0,0,0,0,0,0
2020-11-17,Denmark,DNK,0,0,0,0,0,0
2020-11-18,Denmark,DNK,0,0,0,0,0,0
2020-11-19,Denmark,DNK,0,0,0,0,0,0
2020-11-20,Denmark,DNK,0,0,0,0,0,0
2020-11-21,Denmark,DNK,0,0,0,0,0,0
2020-11-22,Denmark,DNK,0,0,0,0,0,0
2020-11-23,Denmark,DNK,0,0,0,0,0,0
2020-11-24,Denmark,DNK,0,0,0,0,0,0
2020-11-25,Denmark,DNK,0,0,0,0,0,0
2020-11-26,Denmark,DNK,0,0,0,0,0,0
2020-11-27,Denmark,DNK,0,0,0,0,0,0
2020-11-28,Denmark,DNK,0,0,0,0,0,0
2020-11-29,Denmark,DNK,0,0,0,0,0,0
2020-11-30,Denmark,DNK,0,0,0,0,0,0
2020-12-01,Denmark,DNK,0,0,0,0,0,0
2020-12-02,Denmark,DNK,0,0,0,0,0,0
2020-12-03,Denmark,DNK,0,0,0,0,0,0
2020-12-04,Denmark,DNK,0,0,0,0,0,0
2020-12-05,Denmark,DNK,0,0,0,0,0,0
2020-12-06,Denmark,DNK,0,0,0,0,0,0
2020-12-07,Denmark,DNK,0,0,0,0,0,0
2020-12-08,Denmark,DNK,0,0,0,0,0,0
2020-12-09,Denmark,DNK,0,0,0,0,0,0
