X,country,cnt,date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,StringencyIndex
10535,Finland,FIN,2021-03-15,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10536,Finland,FIN,2021-03-16,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10537,Finland,FIN,2021-03-17,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10538,Finland,FIN,2021-03-18,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10539,Finland,FIN,2021-03-19,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10540,Finland,FIN,2021-03-20,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10541,Finland,FIN,2021-03-21,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10542,Finland,FIN,2021-03-22,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10543,Finland,FIN,2021-03-23,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10544,Finland,FIN,2021-03-24,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10545,Finland,FIN,2021-03-25,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10546,Finland,FIN,2021-03-26,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10547,Finland,FIN,2021-03-27,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10548,Finland,FIN,2021-03-28,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10549,Finland,FIN,2021-03-29,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10550,Finland,FIN,2021-03-30,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10551,Finland,FIN,2021-03-31,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10552,Finland,FIN,2021-04-01,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
